job,marital,education,default,housing,loan,deposit
blue-collar,married,primary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
retired,married,tertiary,no,yes,no,yes
management,single,secondary,no,yes,no,yes
student,single,tertiary,no,no,no,yes
student,single,tertiary,no,yes,no,yes
retired,married,tertiary,no,yes,no,yes
admin.,married,tertiary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
entrepreneur,single,tertiary,yes,yes,yes,yes
management,single,tertiary,no,no,no,yes
services,single,secondary,no,no,no,yes
retired,married,tertiary,no,yes,yes,yes
management,single,tertiary,no,no,no,yes
admin.,divorced,tertiary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
technician,married,secondary,no,no,no,yes
management,divorced,unknown,no,no,no,yes
retired,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
services,divorced,primary,no,yes,yes,yes
admin.,married,tertiary,no,no,yes,yes
unemployed,single,secondary,no,no,no,yes
services,single,secondary,no,yes,yes,yes
technician,married,secondary,no,no,no,yes
blue-collar,single,primary,no,no,no,yes
technician,married,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
student,single,tertiary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
admin.,single,secondary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
management,divorced,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,divorced,secondary,no,no,no,yes
technician,divorced,secondary,yes,no,no,yes
admin.,divorced,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
technician,single,secondary,no,no,no,yes
technician,single,secondary,no,no,yes,yes
admin.,married,secondary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
self-employed,single,tertiary,no,no,no,yes
management,married,tertiary,no,yes,yes,yes
technician,divorced,secondary,no,no,no,yes
technician,single,secondary,yes,yes,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
unemployed,married,tertiary,no,yes,no,yes
unemployed,married,primary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
student,single,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
self-employed,divorced,tertiary,no,no,no,yes
admin.,married,unknown,no,no,no,yes
technician,single,unknown,no,no,no,yes
management,single,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
management,divorced,secondary,no,no,no,yes
management,married,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
technician,single,unknown,no,no,no,yes
technician,married,primary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
technician,divorced,unknown,no,no,no,yes
management,divorced,tertiary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
retired,divorced,secondary,no,no,yes,yes
blue-collar,married,secondary,no,yes,no,yes
technician,married,tertiary,no,no,no,yes
retired,divorced,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
blue-collar,single,primary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,divorced,secondary,no,no,no,yes
management,married,tertiary,no,yes,yes,yes
self-employed,married,secondary,no,yes,no,yes
blue-collar,married,primary,no,no,no,yes
blue-collar,married,unknown,no,yes,no,yes
blue-collar,married,secondary,no,yes,yes,yes
admin.,married,unknown,no,no,no,yes
entrepreneur,married,secondary,no,yes,no,yes
technician,married,tertiary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
retired,divorced,primary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
housemaid,married,primary,no,no,no,yes
student,single,secondary,no,no,no,yes
student,single,primary,no,no,no,yes
entrepreneur,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,divorced,primary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
retired,married,primary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
unemployed,married,secondary,no,yes,no,yes
services,married,secondary,no,no,no,yes
technician,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
admin.,married,tertiary,no,no,yes,yes
retired,divorced,primary,no,no,no,yes
self-employed,married,tertiary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,married,primary,no,yes,yes,yes
self-employed,married,secondary,no,no,no,yes
technician,single,secondary,no,yes,no,yes
services,married,primary,no,yes,no,yes
self-employed,married,tertiary,no,no,no,yes
admin.,single,tertiary,no,yes,no,yes
technician,single,tertiary,no,no,no,yes
self-employed,married,secondary,no,yes,no,yes
blue-collar,single,tertiary,no,yes,no,yes
blue-collar,single,tertiary,no,no,no,yes
unknown,married,unknown,no,no,no,yes
retired,married,secondary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,single,tertiary,no,no,yes,yes
admin.,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
admin.,divorced,secondary,no,yes,yes,yes
management,single,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
technician,single,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
retired,divorced,secondary,no,no,no,yes
services,single,tertiary,no,no,no,yes
unemployed,married,secondary,no,no,no,yes
management,married,primary,no,no,no,yes
management,divorced,tertiary,no,yes,no,yes
unemployed,single,tertiary,no,no,no,yes
blue-collar,single,secondary,no,no,no,yes
services,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
entrepreneur,married,primary,no,yes,no,yes
services,single,tertiary,no,no,no,yes
services,married,secondary,no,yes,yes,yes
unemployed,married,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
services,married,secondary,no,yes,yes,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,primary,no,no,no,yes
management,single,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
technician,divorced,secondary,no,yes,yes,yes
blue-collar,married,secondary,no,yes,yes,yes
management,married,unknown,no,yes,no,yes
retired,married,secondary,no,no,no,yes
technician,single,secondary,no,yes,no,yes
unemployed,divorced,secondary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
unemployed,married,secondary,no,no,no,yes
retired,married,primary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
housemaid,single,tertiary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
technician,married,secondary,no,no,yes,yes
self-employed,married,tertiary,no,yes,yes,yes
management,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
unemployed,married,tertiary,no,no,no,yes
unemployed,single,tertiary,no,no,no,yes
unemployed,married,primary,no,yes,no,yes
technician,married,secondary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
unemployed,married,secondary,no,yes,no,yes
retired,divorced,secondary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
blue-collar,married,primary,no,no,no,yes
management,married,unknown,no,no,no,yes
management,single,tertiary,no,no,no,yes
student,single,secondary,no,no,no,yes
services,married,secondary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
retired,divorced,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,divorced,tertiary,no,yes,no,yes
housemaid,married,secondary,no,no,no,yes
services,single,unknown,no,no,no,yes
student,single,unknown,no,no,no,yes
student,single,secondary,no,no,no,yes
services,divorced,primary,no,yes,no,yes
technician,single,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
student,single,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
technician,single,secondary,no,no,no,yes
retired,married,tertiary,no,no,no,yes
entrepreneur,married,secondary,no,yes,yes,yes
admin.,married,secondary,no,yes,no,yes
management,married,primary,no,yes,no,yes
retired,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
housemaid,married,primary,no,yes,no,yes
services,married,primary,no,yes,no,yes
housemaid,married,secondary,no,no,yes,yes
blue-collar,married,secondary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
blue-collar,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
blue-collar,single,primary,no,no,no,yes
self-employed,single,unknown,no,no,no,yes
technician,divorced,tertiary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
unemployed,single,primary,no,no,no,yes
management,single,tertiary,no,yes,yes,yes
student,single,secondary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,yes,yes
self-employed,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,married,primary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
technician,married,tertiary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
blue-collar,married,unknown,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
services,single,unknown,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
entrepreneur,married,primary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,no,no,yes
blue-collar,single,secondary,no,no,yes,yes
housemaid,married,secondary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
technician,married,unknown,no,no,no,yes
technician,single,tertiary,no,no,no,yes
services,divorced,secondary,yes,no,yes,yes
management,married,secondary,no,yes,no,yes
technician,married,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
self-employed,single,tertiary,no,yes,yes,yes
retired,married,primary,no,no,no,yes
entrepreneur,married,secondary,no,no,no,yes
retired,divorced,primary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,yes,yes
student,single,secondary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
services,divorced,secondary,no,yes,yes,yes
services,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
housemaid,married,tertiary,no,no,no,yes
technician,married,tertiary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
student,single,unknown,no,no,no,yes
management,married,secondary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
services,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,married,unknown,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
retired,divorced,tertiary,no,yes,no,yes
technician,single,tertiary,no,no,no,yes
admin.,divorced,secondary,no,no,no,yes
services,divorced,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
technician,married,tertiary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,yes,yes
technician,married,secondary,no,yes,no,yes
retired,divorced,primary,no,no,no,yes
technician,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
technician,single,secondary,no,yes,no,yes
retired,married,secondary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
blue-collar,single,secondary,no,yes,no,yes
technician,divorced,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
technician,married,unknown,no,no,no,yes
services,married,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
admin.,divorced,secondary,no,no,yes,yes
services,married,unknown,no,no,no,yes
admin.,divorced,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,primary,no,no,no,yes
technician,married,secondary,no,no,no,yes
self-employed,married,tertiary,no,no,no,yes
student,single,secondary,no,no,no,yes
self-employed,single,secondary,no,no,yes,yes
services,married,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
management,divorced,tertiary,no,yes,no,yes
retired,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
technician,married,secondary,no,no,yes,yes
management,married,tertiary,no,no,no,yes
admin.,single,secondary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
admin.,divorced,secondary,no,yes,no,yes
unknown,married,unknown,no,no,no,yes
blue-collar,married,primary,no,yes,no,yes
housemaid,single,secondary,no,yes,no,yes
unemployed,divorced,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
admin.,married,tertiary,no,yes,no,yes
services,married,tertiary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
self-employed,married,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
services,single,primary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,single,secondary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
retired,married,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
self-employed,single,tertiary,no,no,yes,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
services,married,primary,no,yes,no,yes
management,married,tertiary,no,no,yes,yes
admin.,married,secondary,no,no,no,yes
retired,married,tertiary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
blue-collar,married,secondary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
self-employed,single,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,single,unknown,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
self-employed,married,secondary,yes,yes,no,yes
services,married,secondary,no,yes,no,yes
technician,married,tertiary,no,no,no,yes
retired,divorced,primary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
technician,married,secondary,yes,no,no,yes
admin.,single,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
services,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
retired,married,unknown,no,no,no,yes
technician,single,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,yes,yes
management,married,tertiary,no,no,no,yes
self-employed,married,tertiary,no,no,no,yes
blue-collar,divorced,primary,no,yes,no,yes
blue-collar,single,primary,no,no,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,secondary,no,no,yes,yes
retired,married,primary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
technician,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,divorced,tertiary,no,no,no,yes
blue-collar,single,primary,no,no,yes,yes
technician,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
student,single,primary,no,no,no,yes
admin.,married,secondary,no,yes,yes,yes
management,married,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
retired,married,primary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
student,single,secondary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
services,single,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,married,unknown,no,yes,no,yes
admin.,single,secondary,no,no,no,yes
blue-collar,single,secondary,no,yes,no,yes
admin.,married,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
technician,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
technician,single,secondary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
blue-collar,divorced,secondary,no,no,no,yes
self-employed,divorced,primary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,single,secondary,no,yes,no,yes
student,single,unknown,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
retired,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
management,married,primary,no,no,no,yes
admin.,single,unknown,no,yes,no,yes
management,divorced,tertiary,no,no,no,yes
technician,divorced,secondary,no,yes,no,yes
student,married,tertiary,no,yes,no,yes
self-employed,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
technician,divorced,unknown,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,unknown,no,yes,yes,yes
admin.,married,primary,no,yes,yes,yes
admin.,married,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
management,married,unknown,no,no,no,yes
management,divorced,tertiary,no,yes,no,yes
unemployed,married,tertiary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
entrepreneur,married,secondary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
retired,divorced,unknown,no,no,no,yes
management,single,tertiary,no,yes,no,yes
services,divorced,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
housemaid,divorced,secondary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
technician,single,tertiary,no,no,no,yes
services,divorced,secondary,no,yes,yes,yes
housemaid,single,primary,no,no,no,yes
technician,married,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
technician,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
self-employed,married,secondary,no,yes,no,yes
unemployed,married,primary,no,no,no,yes
blue-collar,married,primary,no,yes,no,yes
self-employed,single,tertiary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
unemployed,married,secondary,no,no,no,yes
self-employed,married,tertiary,no,no,no,yes
entrepreneur,married,tertiary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
unemployed,married,secondary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,married,unknown,no,yes,no,yes
technician,single,secondary,no,no,yes,yes
housemaid,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
services,single,secondary,no,no,no,yes
management,divorced,tertiary,no,no,yes,yes
blue-collar,single,secondary,no,no,no,yes
housemaid,single,secondary,no,yes,no,yes
student,single,secondary,no,no,no,yes
blue-collar,married,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,secondary,no,no,no,yes
technician,single,secondary,no,no,no,yes
blue-collar,single,secondary,no,yes,no,yes
unemployed,divorced,secondary,no,yes,no,yes
services,divorced,primary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
unemployed,single,tertiary,no,no,no,yes
entrepreneur,divorced,secondary,no,yes,yes,yes
blue-collar,married,secondary,no,no,no,yes
technician,married,secondary,yes,yes,no,yes
technician,married,tertiary,no,no,no,yes
unemployed,divorced,secondary,no,no,no,yes
retired,married,primary,no,no,no,yes
retired,divorced,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
blue-collar,married,primary,no,no,no,yes
self-employed,single,tertiary,no,yes,no,yes
admin.,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
self-employed,married,tertiary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,single,secondary,no,no,no,yes
technician,single,secondary,no,yes,no,yes
self-employed,single,tertiary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
management,divorced,secondary,no,yes,no,yes
technician,married,secondary,no,no,no,yes
services,single,secondary,no,yes,yes,yes
blue-collar,single,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
management,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
services,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
retired,married,secondary,no,no,no,yes
blue-collar,married,primary,no,yes,no,yes
retired,married,primary,no,no,no,yes
technician,married,secondary,no,no,no,yes
blue-collar,divorced,primary,no,no,yes,yes
blue-collar,single,secondary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
retired,married,tertiary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
technician,married,secondary,no,yes,yes,yes
services,married,secondary,no,no,no,yes
management,divorced,tertiary,no,yes,no,yes
retired,married,tertiary,no,yes,yes,yes
self-employed,single,tertiary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
self-employed,married,tertiary,no,yes,yes,yes
management,divorced,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
services,divorced,secondary,no,yes,no,yes
retired,married,secondary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
retired,divorced,primary,no,no,no,yes
entrepreneur,married,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
technician,single,secondary,yes,no,yes,yes
services,married,secondary,no,yes,no,yes
retired,married,secondary,no,no,no,yes
blue-collar,married,secondary,no,yes,yes,yes
admin.,single,tertiary,no,no,yes,yes
services,married,secondary,no,yes,yes,yes
technician,divorced,secondary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
technician,single,tertiary,no,no,no,yes
blue-collar,single,tertiary,no,no,no,yes
services,single,secondary,no,no,no,yes
management,married,secondary,no,no,no,yes
services,divorced,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
blue-collar,married,unknown,no,yes,no,yes
management,single,tertiary,no,no,no,yes
unemployed,single,secondary,no,no,no,yes
blue-collar,married,primary,no,yes,yes,yes
management,married,secondary,no,no,no,yes
admin.,married,unknown,no,no,no,yes
management,married,tertiary,no,no,no,yes
self-employed,married,secondary,no,no,no,yes
retired,married,secondary,no,no,no,yes
technician,single,secondary,no,no,no,yes
housemaid,married,primary,no,no,no,yes
management,single,tertiary,no,no,no,yes
technician,married,secondary,no,no,no,yes
services,single,secondary,no,yes,yes,yes
blue-collar,married,secondary,no,no,no,yes
technician,married,tertiary,no,no,no,yes
management,single,primary,yes,no,no,yes
admin.,married,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,single,secondary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
student,single,secondary,no,no,no,yes
retired,married,secondary,no,yes,no,yes
blue-collar,divorced,primary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
retired,married,primary,no,no,no,yes
unemployed,married,tertiary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
technician,divorced,unknown,no,no,no,yes
admin.,divorced,secondary,no,no,no,yes
retired,divorced,primary,no,no,no,yes
management,single,tertiary,no,no,no,yes
retired,divorced,tertiary,no,no,no,yes
entrepreneur,married,secondary,no,no,yes,yes
admin.,single,secondary,no,yes,no,yes
retired,single,primary,no,no,no,no
admin.,divorced,secondary,no,yes,no,no
blue-collar,married,secondary,no,yes,yes,no
admin.,single,secondary,no,yes,no,no
entrepreneur,married,tertiary,no,no,no,no
management,married,tertiary,no,no,no,no
self-employed,married,secondary,no,no,no,no
blue-collar,married,primary,no,yes,yes,no
technician,married,tertiary,yes,yes,no,no
unemployed,married,secondary,no,no,no,no
self-employed,single,secondary,no,yes,no,no
services,single,secondary,no,yes,no,no
blue-collar,divorced,secondary,no,yes,no,no
housemaid,married,secondary,no,no,no,no
technician,married,secondary,no,yes,no,no
retired,married,secondary,no,yes,yes,no
management,divorced,tertiary,no,yes,no,no
blue-collar,single,secondary,no,yes,no,no
blue-collar,married,primary,no,no,yes,no
services,married,secondary,no,yes,no,no
services,divorced,secondary,no,yes,no,no
services,divorced,primary,no,yes,no,no
blue-collar,married,primary,no,yes,yes,no
unknown,married,tertiary,no,no,no,no
services,married,secondary,no,no,no,no
technician,single,secondary,no,no,no,no
self-employed,single,tertiary,no,no,no,no
blue-collar,divorced,primary,no,yes,no,no
technician,married,secondary,no,no,no,no
blue-collar,single,secondary,no,yes,no,no
management,divorced,tertiary,no,yes,no,no
blue-collar,married,primary,no,no,no,no
entrepreneur,married,primary,no,no,no,no
blue-collar,single,secondary,no,yes,yes,no
management,married,tertiary,no,no,no,no
self-employed,married,tertiary,no,no,no,no
blue-collar,divorced,secondary,no,yes,no,no
technician,married,secondary,no,yes,no,no
admin.,single,secondary,no,yes,no,no
management,married,tertiary,no,yes,no,no
management,married,tertiary,no,yes,no,no
management,married,tertiary,no,yes,yes,no
blue-collar,married,secondary,no,no,no,no
technician,divorced,primary,no,no,yes,no
technician,single,secondary,no,no,no,no
unemployed,married,secondary,no,yes,no,no
entrepreneur,married,secondary,no,yes,no,no
self-employed,married,tertiary,no,yes,no,no
technician,married,secondary,no,yes,yes,no
blue-collar,single,secondary,no,no,no,no
entrepreneur,single,secondary,no,no,no,no
technician,married,secondary,no,yes,no,no
retired,married,primary,no,yes,yes,no
services,married,secondary,no,yes,no,no
management,divorced,tertiary,no,yes,no,no
management,married,tertiary,no,yes,no,no
admin.,married,secondary,no,yes,no,no
management,married,tertiary,no,yes,no,no
technician,married,secondary,no,yes,yes,no
unknown,married,unknown,no,no,no,no
admin.,married,secondary,no,yes,yes,no
unemployed,married,tertiary,no,no,no,no
technician,single,tertiary,no,no,no,no
blue-collar,married,primary,no,yes,no,no
blue-collar,married,primary,no,yes,yes,no
housemaid,married,secondary,yes,yes,yes,no
technician,married,secondary,no,yes,no,no
blue-collar,married,primary,no,no,no,no
blue-collar,married,secondary,no,yes,no,no
blue-collar,married,primary,no,yes,no,no
management,single,tertiary,no,yes,yes,no
retired,married,tertiary,no,yes,no,no
technician,married,secondary,yes,yes,no,no
management,divorced,tertiary,no,yes,no,no
technician,single,secondary,no,no,no,no
